,Date,Donor,Purpose,Amount,Country,medical,children,education,skill_development_project,building,relief,covid_19,foodbank,food,teen,women_empowerment,charity,community,non_reg_purpose,value_amount
98,2022-05-19,it will be,education project,399896 inr,spain,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4399
99,2022-06-01,streets of india,education/skill programme/ women empowerment,72446 inr,spain,0,0,1,1,0,0,0,0,0,0,1,0,0,0,797
100,2022-06-22,streets of india,education/skill programme/ women empowerment,200638 inr,spain,0,0,1,1,0,0,0,0,0,0,1,0,0,0,2207
101,2022-06-27,streets of india,education/skill programme/ women empowerment,152987 inr,spain,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1683
102,2022-07-20,streets of india,education/skill programme/ women empowerment,153333 inr,spain,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1687
103,2022-08-11,it will be,education,321680 inr,spain,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3538
104,2022-08-18,streets of india,education/skill programme/ women empowerment,168066 inr,spain,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1849
105,2022-08-29,streets of india,education/skill programme/ women empowerment,155009 inr,spain,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1705
106,2022-10-18,it will be,education,158880 inr,spain,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1748
107,2022-11-19,global assis,charity purpose,2698553 inr,usa,0,0,0,0,0,0,0,0,0,0,0,1,0,0,29684
108,2022-12-15,global assis,charity/community purpose,0,usa,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
